Ride_ID,Platform,Customer_ID,Driver_ID,City,Pickup_Location,Drop_Location,Ride_Date,Ride_Distance_km,Ride_Duration_min,Fare_Amount,Payment_Method,Rating,Surge_Multiplier,Cancelled,Driver_Experience_Years
R1,Ola,C1244,D126,Bangalore,Mall,Railway Station,01-01-2022 00:00,10.15,104,392.64,Wallet,1.8,1,Yes,1
R2,Uber,C903,D413,Hyderabad,Railway Station,Railway Station,01-01-2022 01:00,5.42,73,1790.46,Card,1.7,1,No,5
R3,Ola,C163,D499,Delhi,Office,Office,01-01-2022 02:00,3.08,28,225.99,Wallet,3.9,1.2,No,14
R4,Ola,C1244,D425,Delhi,Hotel,Hotel,01-01-2022 03:00,24.72,28,1618.9,Wallet,2,2,No,5
R5,Ola,C270,D554,Pune,Mall,Residential,01-01-2022 04:00,28.9,97,528.46,Cash,2.9,1.5,No,3
R6,Uber,C632,D610,Pune,Railway Station,Airport,01-01-2022 05:00,15.54,118,979.39,UPI,2,1.5,No,11
R7,Ola,C906,D543,Pune,Airport,Residential,01-01-2022 06:00,27.51,49,1838.64,Wallet,3.3,1.5,No,3
R8,Ola,C1424,D158,Bangalore,Office,Railway Station,01-01-2022 07:00,28.81,99,1205,Cash,3.9,2.5,No,4
R9,Ola,C1206,D112,Delhi,Residential,Airport,01-01-2022 08:00,37.48,41,483.43,Card,2.3,2.5,No,3
R10,Uber,C205,D402,Chennai,Residential,Hotel,01-01-2022 09:00,3.53,62,625.45,Cash,3.4,2,No,14
R11,Ola,C582,D122,Bangalore,Airport,Mall,01-01-2022 10:00,8.5,87,1847.26,Wallet,4.3,1.5,No,3
R12,Ola,C841,D273,Mumbai,Office,Mall,01-01-2022 11:00,3.67,27,900.12,Cash,1.4,1,No,3
R13,Ola,C1252,D294,Hyderabad,Office,Residential,01-01-2022 12:00,34.85,39,1207.01,Cash,3.8,1.5,No,7
R14,Ola,C596,D398,Pune,Office,Residential,01-01-2022 13:00,31.91,67,963.07,Card,2.3,2,No,9
R15,Uber,C250,D471,Delhi,Office,Airport,01-01-2022 14:00,23.41,118,806.6,Cash,1.5,1.5,No,11
R16,Ola,C875,D207,Hyderabad,Residential,Airport,01-01-2022 15:00,4.26,10,508.7,Card,3.2,1.2,Yes,13
R17,Uber,C1465,D110,Bangalore,Railway Station,Hotel,01-01-2022 16:00,11.66,10,1397.49,Card,1.9,1.5,No,1
R18,Uber,C196,D440,Mumbai,Office,Residential,01-01-2022 17:00,12.61,105,1459.02,Cash,4.3,1,No,8
R19,Uber,C690,D278,Bangalore,Railway Station,Railway Station,01-01-2022 18:00,22.87,34,607.78,Wallet,1.2,2,No,10
R20,Ola,C1094,D568,Bangalore,Office,Mall,01-01-2022 19:00,11.06,5,1594.9,UPI,1.4,2,No,12
R21,Uber,C639,D569,Chennai,Mall,Hotel,01-01-2022 20:00,3.85,67,1720.71,Cash,3.1,1,No,1
R22,Ola,C1423,D482,Hyderabad,Hotel,Airport,01-01-2022 21:00,29.5,12,1847.7,Cash,3.4,2,No,9
